Name,Current price,Change(%),Open,High,Low,Volume
TENON MEDICAL INC.,2.4,14.76,2.51,2.51,2.34,164047
JAYUD GLOBAL LOGISTICS,1.24,10.71,1.09,1.25,1.04,163990
Y-MABS THERAPEUTICS INC.,10.77,1.99,10.54,11.04,10.38,163989
APPFOLIO INC.,255.4,1.73,251.6,255.58,248.29,163784
TOP KINGWIN LTD,0.24,119.19,0.27,0.2969,0.24,163422
BOOKING HOLDINGS INC.,5214.72,2.07,5110.0,5215.0,5110.0,162702
MOONLAKE IMMUNOTHERAPEUTICS,52.84,12.46,54.21,54.33,52.15,162266
CORBUS PHARMACEUTICALS HLD.,17.98,0.17,18.13,18.3,17.8,162042
LEDDARTECH HOLDINGS INC.,0.3219,12.54,0.34,0.3798,0.3219,161860
DIGIASIA,0.5901,1.51,0.6156,0.629,0.54,161829
CONTEXT THERAPEUTICS INC.,1.47,0.68,1.48,1.53,1.42,161403
REAL MESSENGER CORP.,2.16,112.2,2.28,2.28,1.85,161048
DONEGAL GROUP INC.,16.44,0.92,16.22,16.65,16.2,160811
WASHINGTON TRUST BANCORP INC.,37.71,10.05,37.57,38.26,37.21,160105
CHILDREN S PLACE INC. (THE),15.44,13.68,15.85,16.04,15.1,159783
JOINT STOCK CO.,109.62,3.23,106.04,109.62,105.28,159636
WISEKEY INTERNATIONAL HOLDING LTD ADS,2.11,111.72,2.2,2.2,2.0,159212
ENLIVEN THERAPEUTICS INC.,24.35,12.13,24.88,25.07,24.1,159128
LANDSEA HOMES CORP.,11.47,11.97,11.51,11.57,11.3,158973
AMEDISYS INC,91.02,0.05,91.05,91.28,90.36,158764
OUTBRAIN INC.,5.37,3.27,5.2,5.38,5.09,157884
AKARI THERAPEUTICS PLC ADS,1.14,10.68,1.06,1.18,0.92,157623
WINDTREE THERAPEUTICS INC.,0.5636,1.28,0.56,0.5667,0.53,157328
CARISMA THERAPEUTICS INC.,0.85,0.57,0.85,0.88,0.83,157218
ADVENT TECHNOLOGIES HLD.,5.09,121.57,6.42,6.78,4.85,157196
RED ROBIN GOURMET BURGERS INC.,5.18,15.3,5.47,5.47,5.16,156477
ZENVIA INC.,1.72,12.42,1.51,1.78,1.51,156456
PHIBRO ANIMAL HEALTH,23.73,11.7,24.2,24.2,23.56,156042
CYCLERION THERAPEUTICS INC.,1.36,16.21,1.45,1.47,1.33,155759
SIMULATIONS PLUS INC.,31.72,13.12,32.51,32.51,30.94,155507
ATEA PHARMACEUTICALS INC.,3.3,12.94,3.38,3.4,3.27,155441
UCLOUDLINK GROUP INC. ADS,1.17,114.6,1.45,1.5,1.08,155071
INOGEN INC,9.6,11.84,9.86,9.88,9.5,155070
LANDSTAR SYSTEM INC.,187.74,1.39,184.59,187.92,181.6,154734
2SEVENTY BIO INC.,3.69,11.6,3.72,3.79,3.61,154504
FRANKLIN ELECTRIC CO. INC.,108.04,12.14,109.7,110.58,107.83,154384
RELMADA THERAPEUTICS INC.,2.72,11.45,2.78,2.8,2.67,154366
ICLICK INTERACTIVE ASIA GROUP,5.78,3.4,5.51,5.99,5.02,154282
X3 HOLDINGS CO.,1.89,6.18,1.72,1.9,1.65,154139
NAAS TECHNOLOGY INC. ADS,2.82,19.32,3.07,3.1,2.82,153713
HORIZON SPACE ACQUISITION I,11.32,0.35,11.27,11.32,11.27,153524
PHOENIX MOTOR INC.,0.3111,14.34,0.3252,0.3252,0.3014,153479
UPEXI INC.,4.57,19.86,5.01,5.06,4.57,153361
CURIOSITYSTREAM INC.,1.83,1.67,1.81,1.84,1.78,153290
EKSO BIONICS HLD.,0.6722,12.65,0.71,0.736,0.67,153253
GRUPO AEROPORTUARIO DEL CENTRO NORTE S.,63.64,13.74,65.8,65.8,62.68,153086
SITIME CORP.,209.76,12.56,218.0,218.0,208.56,153070
FARMER BROTHERS CO.,2.22,10.45,2.2,2.3,2.15,152349
DIGI INTERNATIONAL INC.,32.64,12.97,33.46,33.47,32.62,152288
INTERPARFUMS INC.,137.48,10.66,137.87,137.87,136.02,152262
PRICESMART INC.,90.45,10.52,90.79,91.25,90.07,152227
MATRIX SERVICE CO.,13.3,11.12,13.36,13.42,13.14,152053
GAN LTD.,1.83,0.55,1.83,1.83,1.81,151385
PHARVARIS N.V.,24.17,2.03,23.3,24.17,22.7,151026
GRAND CANYON EDUCATION INC.,166.64,10.74,168.45,168.45,164.85,150267
APOGEE ENTERPRISES INC.,85.19,0.38,84.17,85.76,83.4,150234
PETROS PHARMACEUTICALS INC.,0.2677,17.69,0.2875,0.2877,0.265,150064
LUNA INNOVATIONS INC.,1.82,13.19,1.9,2.01,1.81,150021
AKOYA BIOSCIENCES INC.,2.2,3.77,2.11,2.3,2.06,148842
MONTAUK RENEWABLES INC.,4.3,14.23,4.49,4.49,4.23,148723
HANMI FINANCIAL,26.71,10.48,26.68,27.18,26.64,148409
EHEALTH INC.,5.37,11.47,5.4,5.57,5.29,148384
CONTEXTLOGIC INC.,7.1,0.14,7.09,7.14,6.93,148217
ALPHA COGNITION INC.,5.95,4.02,5.84,6.0,5.72,148019
BIOMERICA INC.,0.3026,15.73,0.321,0.34,0.3026,147795
H&E EQUIPMENT SERVICES INC.,60.27,10.86,60.19,60.6,59.18,147693
SLR INVESTMENT,16.55,10.54,16.67,16.67,16.55,147222
SBC MEDICAL GROUP HLD.,7.79,19.85,6.73,7.99,6.5,146935
IDENTIV INC.,3.72,13.63,3.81,3.92,3.65,146516
NATIONAL BEVERAGE,48.87,11.51,48.9,49.47,48.47,146361
ALLARITY THERAPEUTICS INC.,1.24,13.13,1.27,1.28,1.21,146326
CALAMOS GLOBAL DYNAMIC,7.02,0.14,7.05,7.05,6.99,145516
I3 VERTICALS INC.,23.79,10.96,23.87,24.23,23.76,145433
NEOVOLTA INC.,5.43,12.51,5.51,5.66,5.2,145384
INSEEGO CORP.,12.24,12.78,12.49,12.78,12.11,144319
HIGHPEAK ENERGY INC.,14.71,12.84,15.16,15.17,14.67,143941
DORCHESTER MINERALS L.P.,33.69,0.27,33.94,33.98,33.45,143235
GALAPAGOS NV ADS,26.9,11.5,27.33,27.35,26.87,142999
AMERISAFE INC.,58.77,0.29,58.63,59.04,58.27,142934
AGM GROUP HOLDINGS INC.,1.78,11.66,1.82,1.94,1.75,142778
MODIVCARE INC.,17.63,10.73,17.53,18.0,17.21,142208
CITI TRENDS INC.,19.15,12.15,19.29,19.81,18.97,142018
DESIGN THERAPEUTICS INC.,6.15,9.43,5.62,6.18,5.53,141604
REPARE THERAPEUTICS INC.,3.15,3.28,3.09,3.2,2.99,141414
60 DEGREES PHARMACEUTICALS,1.01,113.68,1.14,1.16,1.0,141333
ARB IOT GROUP LTD.,0.4601,0.02,0.46,0.5095,0.4516,141308
BAIRD MEDICAL INVESTMENT HLD.,2.4,20.0,2.05,2.7,1.87,141070
HOMESTREET INC.,11.46,12.88,11.83,11.83,11.44,140712
EAGLE BANCORP INC.,29.48,11.73,29.7,30.04,29.41,140614
HEIDRICK & STRUGGLES INTERNATIONAL,46.73,10.57,46.74,47.22,46.37,140069
TREVI THERAPEUTICS INC.,2.88,11.37,2.9,2.93,2.83,139382
PREMIER FINANCIAL,27.97,11.93,28.36,28.42,27.96,138979
FEMASYS INC.,1.06,13.64,1.12,1.13,1.04,138972
NORTHFIELD BANCORP INC.,13.6,11.95,13.87,13.87,13.58,138489
INSPIRED ENTERTAINMENT INC.,9.86,10.3,9.95,9.96,9.76,138384
BEAMR IMAGING,2.89,13.02,3.04,3.05,2.82,138108
INTRUSION INC.,0.5826,15.61,0.6102,0.6298,0.58,136738
MILLENNIUM GROUP INTERNATIONAL HLD.,1.58,11.25,1.57,1.58,1.53,136513
XPEL INC.,43.41,16.69,46.52,46.84,43.28,136374
NOVA,174.53,10.89,177.23,178.88,172.99,136356
SONOMA PHARMACEUTICALS INC.,2.92,10.34,2.94,3.04,2.82,136337
ONCOLYTICS BIOTECH INC.,0.9499,1.59,0.95,0.9799,0.9201,136232
AVALON GLOBOCARE,2.73,1.11,2.76,3.05,2.68,135638
ENVVENO MEDICAL,3.21,15.59,3.4,3.42,3.11,135554
FIREFLY NEUROSCIENCE INC.,3.0,19.09,3.33,3.48,2.95,135292
GSE SYSTEMS INC.,4.59,0.0,4.6,4.61,4.59,134541
HILLEVAX INC.,1.91,11.55,1.94,1.94,1.88,134134
HYCROFT MINING HOLDING,2.32,12.11,2.38,2.38,2.31,134094
BIORA THERAPEUTICS INC.,1.79,5.29,1.7,1.94,1.7,134018
ABVC BIOPHARMA INC.,0.506,13.07,0.522,0.5397,0.5003,133928
TRIUMPH FINANCIAL INC.,108.82,11.22,109.27,110.56,107.17,133902
ENLIVEX THERAPEUTICS,1.07,0.0,1.08,1.09,1.01,133750
BITFUFU INC.,5.01,17.22,5.26,5.34,4.83,133434
ADVERUM BIOTECHNOLOGIES INC.,6.16,0.16,6.13,6.2,5.98,133219
STONEX GROUP INC.,104.38,10.17,104.33,106.76,103.17,132530
RED VIOLET INC.,36.95,14.72,38.75,38.75,36.62,132409
RIGEL PHARMACEUTICALS INC.,26.7,2.34,25.91,27.25,25.04,132211
RADIUS RECYCLING INC.,19.44,15.45,20.43,20.64,19.34,132134
ALERUS FINANCIAL,21.98,10.72,22.01,22.2,21.74,132125
INMUNE BIO INC.,4.88,1.67,4.8,4.93,4.68,131983
WHITEHORSE FINANCE,10.47,0.0,10.44,10.51,10.35,131766
ZIMVIE INC.,14.52,0.76,14.34,14.56,14.32,131108
HARVARD BIOSCIENCE INC.,2.19,12.23,2.26,2.26,2.16,130614
ADDUS HOMECARE CORP.,124.41,1.19,122.77,124.56,122.17,130280
SYNTEC OPTICS HLD.,0.86,10.93,0.9,0.905,0.8451,130050
ENVERIC BIOSCIENCES INC.,0.327,1.58,0.3243,0.3488,0.3174,130026
CERVOMED INC.,7.98,18.9,8.78,8.9,7.75,129692
CYTOSORBENTS CORP.,0.8993,13.3,0.93,0.94,0.89,129491
PEAPACK-GLADSTONE FINANCIAL,36.89,0.68,36.3,37.2,36.13,129475
JET.AI INC.,5.6,0.72,5.54,5.7,5.35,129292
SEZZLE INC.,428.45,17.66,450.29,468.65,411.37,129262
LANCASTER COLONY,185.58,11.62,188.33,190.16,183.54,129023
TUNGRAY TECHNOLOGIES INC,3.04,28.81,2.69,3.39,2.69,128646
PERFORMANT FINANCIAL,3.02,14.43,3.16,3.16,3.02,128505
WETOUCH TECHNOLOGY INC.,1.8,5.26,1.72,1.8,1.67,128147
POLESTAR AUTOMOTIVE HOLDING UK,0.1496,1.77,0.15,0.15,0.1402,128122
CONNECTONE BANCORP INC.,27.84,12.86,28.47,28.47,27.84,127952
ALPHA TAU MEDICAL,2.86,13.04,2.59,2.86,2.48,127707
STOCK YARDS BANCORP INC.,77.77,0.45,76.85,78.36,76.22,127472
AMERICAN COASTAL INSURANCE,13.52,10.37,13.49,13.64,13.23,127367
EL POLLO LOCO HLD.,12.77,0.08,12.7,12.8,12.52,127124
UNIVEST FINANCIAL,31.9,10.44,31.88,32.07,31.48,126308
ACACIA RESEARCH,4.5,11.75,4.59,4.59,4.5,126183
ORRSTOWN FINANCIAL SERVICES,39.78,10.8,39.9,40.19,39.56,126116
NBT BANCORP INC.,50.12,11.71,50.59,50.81,49.74,126076
FARO TECHNOLOGIES INC.,26.4,11.9,26.75,26.75,26.15,126068
SMART SAND INC.,2.36,13.67,2.45,2.45,2.31,126041
EDAP TMS S.A. ADS,2.37,14.05,2.52,2.6,2.32,125412
TUNIU CORP.,1.02,0.0,1.02,1.06,1.02,125284
THE REAL GOOD FOOD CO.,0.2746,11.63,0.2607,0.2999,0.25,124988
ERIE INDEMNITY CO.,438.48,1.66,432.24,439.23,431.59,124902
FORTE BIOSCIENCES INC.,16.68,3.73,15.22,18.0,15.07,124826
VICOR CORP.,55.44,12.15,56.37,56.62,55.21,124642
NEUROONE MEDICAL TECHNOLOGIES,0.697,13.74,0.64,0.7199,0.6,124182
LEXEO THERAPEUTICS INC.,7.33,1.38,7.27,7.58,7.14,123857
FB BANCORP INC.,11.87,10.67,11.88,12.11,11.86,123831
TRANSCAT INC.,105.62,15.88,110.98,110.98,104.88,123359
LIPOCINE INC.,4.42,111.78,5.03,5.03,4.01,123319
TECHTARGET INC.,32.88,10.93,32.96,33.43,32.63,123135
VIRTRA INC.,7.96,4.05,7.63,8.2,7.53,122668
NUCANA PLC ADS,1.33,5.56,1.3,1.34,1.28,122574
MGE ENERGY INC.,103.34,11.35,104.33,104.33,102.77,122565
BIOAGE LABS INC.,19.7,3.3,19.18,19.78,18.98,122464
BLACK SPADE ACQUISITION II CO  ORD.,9.85,0.0,9.85,9.87,9.85,122389
PETMED EXPRESS INC.,4.67,11.89,4.75,4.78,4.66,122315
CARECLOUD INC.,3.1,4.73,2.9,3.1,2.83,122248
UNITED MARITIME,1.99,14.78,2.1,2.1,1.96,121992
MERCHANTS BANCORP,41.68,0.63,41.41,41.77,41.11,121940
NEXT TECHNOLOGY HOLDING INC.,2.05,19.69,2.16,2.19,1.76,121413
SHUTTLE PHARMACEUTICALS HLD.,0.87,1.05,0.9,0.9,0.8297,121348
NB BANCORP INC.,20.29,10.78,20.36,20.63,20.24,121312
TASKUS INC.,14.81,12.05,15.03,15.15,14.8,121253
ROADZEN INC.,0.994,10.6,1.08,1.09,0.9508,121179
DALLASNEWS CORP.,5.5,16.62,5.85,5.99,5.11,120958
LIGHTPATH TECHNOLOGIES INC.,1.66,0.61,1.6,1.73,1.57,120883
I-MAB ADS,0.947,0.74,0.95,0.9662,0.92,120741
OVID THERAPEUTICS INC.,1.09,10.91,1.08,1.1,1.08,120531
CALAMOS LONG/SHORT EQUITY & DYNAMIC,15.5,0.65,15.67,15.68,15.4,119991
PLURI INC.,5.4,2.47,5.31,5.55,4.98,119594
RAPPORT THERAPEUTICS INC.,22.34,0.04,22.32,23.07,22.0,119453
PATHWARD FINANCIAL INC.,83.48,10.96,83.71,84.01,82.94,119170
MICROBOT MEDICAL INC.,0.99,0.01,0.9797,1.03,0.9797,119107
JEFFS  BRANDS LTD,2.98,18.59,3.12,3.25,2.93,118780
CALAMOS CONVERTIBLE AND HIGH,12.33,0.0,12.36,12.39,12.22,118686
INNOVAGE HOLDING,4.77,0.42,4.77,4.93,4.66,118378
FLY-E GROUP INC.,0.44,12.22,0.44,0.4599,0.4335,117924
HEARTLAND FINANCIAL USA INC.,67.96,11.44,68.27,68.83,67.85,117327
BRAND ENGAGEMENT NETWORK INC.,0.8805,3.04,0.8729,0.89,0.84,117209
MODULAR MEDICAL INC.,1.63,1.87,1.72,1.73,1.63,117197
DATCHAT INC.,1.85,18.42,2.04,2.04,1.84,117194
HAWKINS INC.,137.31,1.36,134.22,137.98,133.03,117046
TECTONIC THERAPEUTIC INC.,47.83,10.44,47.82,48.72,43.5,116982
HERITAGE DISTILLING HOLDING CO.,3.64,5.81,3.4,3.68,3.22,116800
ALZAMEND NEURO INC.,1.28,12.29,1.29,1.35,1.27,116718
Q32 BIO INC.,25.09,11.38,26.85,26.85,24.84,116272
SHF HOLDINGS INC.,0.42,10.24,0.427,0.4587,0.4,116059
TRIVAGO N.V. ADS,1.97,10.06,1.76,2.03,1.75,115918
FUTURE FINTECH GROUP INC.,0.3952,11.69,0.395,0.4199,0.39,115806
SATELLOGIC INC.,1.39,10.71,1.41,1.43,1.35,115758
FIDUS INVESTMENT,21.06,0.0,21.09,21.12,20.9,115435
WANG & LEE GROUP INC.,5.35,0.38,5.55,5.55,4.5,115284
BELITE BIO INC ADS,64.02,115.03,73.25,73.46,63.38,115279
ONEWATER MARINE INC.,21.53,14.73,22.35,22.35,20.74,115217
ATERIAN INC.,2.57,11.91,2.69,2.77,2.51,115205
ELECTROVAYA INC.,2.73,0.37,2.73,2.78,2.55,115096
LAZYDAYS HOLDINGS INC.,1.01,2.02,0.99,1.03,0.92,115032
AWARE INC.,1.71,6.21,1.59,1.82,1.58,114987
MONOPAR THERAPEUTICS INC.,19.45,0.26,18.86,19.75,18.8,114826
XUNLEI LTD.,1.89,0.0,1.89,1.95,1.88,114698
CO2 ENERGY TRANSITION,9.98,10.1,9.99,9.99,9.98,114276
BLOOMZ INC.,0.645,14.83,0.72,0.72,0.636,114137
ADVANCED FLOWER CAPITAL INC.,9.58,10.42,9.66,9.67,9.54,114125
CENNTRO INC.,1.21,13.2,1.25,1.27,1.2,114016
THE FIRST OF LONG ISLAND,14.72,11.6,14.89,14.9,14.65,113812
PLAYSTUDIOS INC.,1.84,1.66,1.83,1.87,1.81,113036
FARMMI INC.,0.2634,11.24,0.2667,0.2817,0.2605,112958
CLIMB BIO INC.,3.04,11.3,3.11,3.18,2.98,112706
VIEMED HEALTHCARE INC.,8.66,0.12,8.7,8.81,8.55,112671
CARMELL CORP.,0.2601,3.26,0.2519,0.2692,0.2415,112636
WERIDE INC. ADS,17.5,14.21,18.65,19.39,17.35,112376
GYRE THERAPEUTICS INC.,12.09,3.96,11.65,12.42,11.65,112253
CIBUS INC.,4.49,13.44,4.57,4.82,4.45,112234
PIONEER POWER SOLUTIONS INC.,5.9,11.34,6.0,6.0,5.76,112011
INHIBIKASE THERAPEUTICS INC.,2.36,0.85,2.38,2.48,2.26,111878
LM FUNDING AMERICA INC.,2.71,13.21,2.78,2.87,2.66,111611
LINCOLN EDUCATIONAL SERVICES,16.46,0.67,16.32,16.51,16.05,111575
CSW INDUSTRIALS INC.,423.58,11.95,430.0,430.84,422.64,110597
QT IMAGING HOLDINGS INC.,0.48,1.91,0.4684,0.5,0.4684,110531
CONCRETE PUMPING HLD.,6.71,1.98,6.63,6.91,6.55,109982
LEMAITRE VASCULAR INC.,105.43,11.55,106.93,107.86,105.11,109970
DT CLOUD STAR ACQUISITION,0.1498,7.0,0.135,0.1498,0.135,109731
MERCANTILE BANK,50.1,12.03,50.67,50.78,49.6,109511
CLEARPOINT NEURO INC.,11.96,2.49,11.77,12.03,11.6,109484
QUIPT HOME MEDICAL,2.47,2.92,2.4,2.5,2.4,109471
GREENPOWER MOTOR CO.,0.9298,3.08,0.91,0.9499,0.8827,109407
NATIONAL RESEARCH,19.54,10.51,19.63,19.65,19.11,109134
INTERNATIONAL GENERAL INSURANCE HLD.,26.6,2.78,25.76,26.71,25.69,109106
LIBERTY MEDIA CORP.,70.95,10.45,70.87,71.24,70.1,109094
CALAMOS CONVERTIBLE OPPORTUNITIES AND,12.05,10.25,12.16,12.16,11.91,108961
ANIKA THERAPEUTICS INC.,17.72,3.02,17.2,17.77,17.1,108870
MONROE CAPITAL CORP.,8.48,10.12,8.47,8.53,8.32,108724
CLICK HOLDINGS LTD.,1.59,1.27,1.47,1.75,1.45,108517
BOLT PROJECTS HLD.,0.3101,18.79,0.347,0.3664,0.3101,108499
FREQUENCY ELECTRONICS INC.,13.88,4.44,13.21,13.9,13.21,108450
BUSINESS FIRST BANCSHARES INC.,28.84,10.38,28.9,29.11,28.57,108390
VIRCO MANUFACTURING,16.34,11.45,16.73,16.73,16.24,108025
COFFEE HOLDING CO. INC.,3.41,12.01,3.5,3.69,3.41,107831
HWH INTERNATIONAL INC.,0.565,2.54,0.526,0.5965,0.526,107703
BULLFROG AI HOLDINGS INC.,2.13,14.05,2.28,2.33,2.1,107579
VSE CORP.,116.26,0.15,115.41,117.07,113.89,107180
CHANSON INTERNATIONAL HOLDING,7.11,12.2,7.5,7.8,7.11,106957
CONSENSUS CLOUD SOLUTIONS INC.,25.44,10.27,25.53,25.53,24.9,106955
LIQUIDITY SERVICES INC.,25.59,0.31,25.5,25.77,25.36,106699
GRIID INFRASTRUCTURE INC.,0.96,0.0,0.95,1.03,0.9,106689
NEUROSENSE THERAPEUTICS,0.9,2.58,0.922,0.9505,0.88,106511
FITELL CORP.,25.99,8.97,22.69,26.56,22.69,106443
VISION SENSING ACQUISITION,11.7,0.0,11.74,11.75,11.66,106413
CREXENDO INC.,5.32,1.92,5.19,5.45,5.18,106337
CIMPRESS PLC,81.09,12.87,83.2,83.2,80.8,106321
AUDIOEYE INC.,26.29,10.72,26.23,27.01,25.82,106192
CITIUS ONCOLOGY INC.,0.9959,17.15,0.885,1.0,0.85,106175
NATIONAL ENERGY SERVICES REUNITED CORP,8.58,0.7,8.54,8.68,8.18,106016
CLENE INC.,3.88,14.9,4.06,4.25,3.85,105590
MONDEE HOLDINGS INC.,0.9579,16.09,1.04,1.04,0.922,105394
PULMONX CORP.,6.46,12.27,6.5,6.67,6.37,105251
GARDEN STAGE LTD.,0.6867,13.55,0.6859,0.712,0.6606,104845
SMITH MICRO SOFTWARE INC.,0.8263,13.95,0.8501,0.858,0.8019,104790
RENOVORX INC.,1.36,12.4,1.38,1.39,1.26,104333
WD-40 COMPANY,280.27,12.17,286.6,288.0,279.98,104285
NIOCORP DEVELOPMENTS,1.3,14.41,1.36,1.38,1.3,103926
MCGRATH RENTCORP,121.74,0.21,120.92,122.16,120.01,103691
FIRSTSUN CAPITAL BANCORP,38.7,1.57,38.25,39.31,37.61,103679
NUVEEN NASDAQ 100 DYNAMIC OVERWRITE FUN,26.16,0.65,26.1,26.21,26.03,103633
SPOK HOLDINGS INC.,16.37,10.06,16.4,16.53,16.35,103205
FOCUS UNIVERSAL INC.,0.2476,0.65,0.244,0.2668,0.242,102843
MARIN SOFTWARE INC.,2.3,8.49,2.2,2.4,2.2,102837
TELA BIO INC.,3.03,3.06,2.95,3.11,2.88,102827
LIMBACH HOLDINGS INC.,102.03,10.45,101.67,104.43,99.99,102640
FTAC EMERALD ACQUISITION,11.29,10.79,11.38,11.38,11.22,102489
CALIBERCOS INC.,0.4449,113.0,0.5111,0.5212,0.41,102333
EUDA HEALTH HOLDINGS,4.39,1.62,4.38,4.68,4.3,102215
VACCINEX INC.,3.69,3.65,3.56,3.7,3.14,102006
MINERALYS THERAPEUTICS INC.,12.52,11.42,12.65,13.05,12.48,101893
WESTAMERICA BANCORP.,57.57,11.13,57.71,58.21,57.33,101864
FUTURE VISION II ACQUISITION,10.11,0.1,10.21,10.21,10.09,101818
PRIMIS FINANCIAL,12.59,11.25,12.69,12.72,12.56,101549
LOTUS TECHNOLOGY INC. ADS,4.19,10.24,4.21,4.31,3.99,101522
PURPLE INNOVATION INC.,0.922,12.95,0.96,0.96,0.9201,101444
EXPION360 INC.,2.27,14.22,2.33,2.41,2.27,101440
QUICKLOGIC CORP.,7.58,12.57,7.75,7.77,7.47,101250
AURA BIOSCIENCES INC.,8.96,0.9,8.88,9.14,8.86,100844
JOHN B. SANFILIPPO & SON INC.,83.91,12.15,85.5,85.88,83.46,100604
TUHURA BIOSCIENCES INC.,3.49,3.87,3.34,3.66,3.32,100475
LANDS  END INC.,15.76,12.78,16.12,16.13,15.51,100319
HUTCHMED (CHINA),17.38,10.17,17.41,17.74,17.16,100318
GENELUX CORP.,2.49,12.73,2.59,2.73,2.48,100140
IMMUTEP LTD.,1.91,15.45,2.02,2.08,1.89,99908
GSI TECHNOLOGY INC.,3.05,11.61,3.1,3.11,2.99,99847
SEPTERNA INC.,24.28,4.43,23.01,24.99,23.0,99752
FREIGHT TECHNOLOGIES INC.,1.4,14.11,1.5,1.5,1.36,99747
ENERGOUS CORP.,0.4703,0.04,0.48,0.49,0.4701,99714
ALTISOURCE PORTFOLIO SOLUTIONS S.A.,0.84,10.53,0.7789,0.845,0.75,99630
LITTELFUSE INC.,247.29,11.63,251.0,251.0,246.43,99387
NOODLES & COMPANY,0.697,0.55,0.7,0.735,0.6822,99181
EVGO INC. WARRANTS,1.06,13.64,1.1,1.11,0.95,98961
URGENT.LY INC.,0.5333,10.5,0.6017,0.6017,0.5207,98960
GLADSTONE CAPITAL,27.29,0.0,27.28,27.31,27.08,98776
IBEX LTD.,20.8,10.57,20.9,20.94,20.55,98451
MAIDEN HOLDINGS LTD.,1.57,15.42,1.6,1.66,1.57,98176
ITURAN LOCATION AND CONTROL,29.69,1.89,29.14,29.84,29.14,98086
BRILLIANT EARTH GROUP INC.,1.85,6.94,1.74,1.85,1.71,98052
GREENLIGHT REINSURANCE,15.03,10.33,15.05,15.13,14.93,97561
SKYE BIOSCIENCE INC.,4.28,4.39,4.15,4.33,4.08,97313
SIGMATRON INTERNATIONAL INC.,2.78,3.73,2.65,2.83,2.62,97017
BALCHEM CORP.,182.32,10.2,181.99,182.99,180.62,96924
U.S. GOLDMINING INC.,12.87,7.43,12.09,13.15,11.99,96680
POTBELLY CORP.,10.08,11.27,10.23,10.23,9.96,96626
CLEARFIELD INC.,30.9,0.98,30.41,31.01,30.14,96503
ENTRADA THERAPEUTICS INC.,19.37,1.73,18.98,19.54,18.81,96461
VYNE THERAPEUTICS INC.,2.89,12.03,2.9,2.93,2.77,96355
MING SHING GROUP HOLDINGS,6.12,18.38,6.79,6.79,5.94,96292
SURO CAPITAL,4.98,11.39,5.03,5.1,4.9,96220
ORUKA THERAPEUTICS INC.,18.69,0.97,18.51,19.57,18.2,96131
JAKKS PACIFIC INC.,27.9,11.24,28.05,28.2,27.68,96075
ACHIEVE LIFE SCIENCES INC.,4.48,10.67,4.5,4.6,4.45,94689
REITAR LOGTECH HOLDINGS,4.08,17.06,4.23,4.68,4.05,94502
MBX BIOSCIENCES INC.,19.83,2.27,19.67,20.78,19.67,94497
DIRECT DIGITAL HLD.,1.28,14.48,1.3,1.34,1.24,94311
AFYA LTD.,17.05,1.13,16.95,17.11,16.71,94153
KURA SUSHI USA INC.,105.38,10.85,106.71,106.99,104.23,94093
GLADSTONE INVESTMENT,13.39,0.6,13.3,13.42,13.2,94089
NEO-CONCEPT INTERNATIONAL GROUP HLD.,0.548,4.78,0.523,0.5715,0.523,94022
UNIVERSAL STAINLESS & ALLOY PRODUCTS,44.4,0.14,44.25,44.42,44.22,93672
ALTERNUS CLEAN ENERGY INC.,1.3,3.17,1.34,1.34,1.26,93545
NIP GROUP INC. ADS,6.4,13.03,6.7,6.72,6.25,93408
ASURE SOFTWARE INC,9.65,11.23,9.72,9.86,9.46,93263
BONE BIOLOGICS CORP,1.3,10.76,1.32,1.36,1.22,93160
PROPHASE LABS INC.,0.749,0.6,0.74,0.7497,0.7145,92916
NEWTEKONE INC.,14.37,12.64,14.75,14.8,14.33,92828
LAKESHORE BIOPHARMA CO. LTD,3.27,21.56,2.5,3.99,2.5,92581
HEARTCORE ENTERPRISES INC.,1.5,4.9,1.44,1.53,1.42,92569
CAVCO INDUSTRIES INC.,521.23,12.24,528.0,528.0,516.27,92539
FENBO HOLDINGS LTD.,1.98,118.18,2.3,2.31,1.96,92464
CHIMERIX INC.,0.9041,1.37,0.8919,0.93,0.8919,92037
CAMBIUM NETWORKS,1.21,13.2,1.27,1.31,1.16,91409
SPI ENERGY CO.,0.309,1.31,0.305,0.3177,0.302,91269
THE HACKETT GROUP INC.,31.51,0.99,31.13,31.54,31.13,90805
IMMUCELL CORP.,3.7,11.07,3.69,3.85,3.67,90610
LUMOS PHARMA INC.,4.32,0.47,4.3,4.38,4.3,90595
IMMUNEERING CORP.,2.05,11.44,2.09,2.11,2.03,90379
CREATIVE REALITIES INC.,3.26,110.93,3.67,3.72,3.21,89999
CONNECTM TECHNOLOGY SOLUTIONS,0.88,12.94,0.94,0.9455,0.8222,89672
QUANTUM BIOPHARMA,4.99,14.41,5.38,5.44,4.6,89627
RCI HOSPITALITY HLD.,52.69,10.98,53.02,53.26,52.25,89557
BOXLIGHT CORP.,0.445,4.22,0.427,0.47,0.412,89335
ABIVAX SA ADS,8.5,0.0,8.27,8.63,8.23,89121
TURNSTONE BIOLOGICS,0.5001,1.85,0.4898,0.5357,0.4898,89063
ASPIRA WOMEN S HEALTH INC.,0.76,1.35,0.74,0.799,0.712,88716
AMERICAN PUBLIC EDUCATION INC.,20.52,0.24,20.28,20.72,19.53,88096
